train_episode,train_steps,reward,env
56954,361128,-2181.0,9
56955,361461,-2144.0,9
56956,361712,-1407.0,9
56957,361898,-1493.0,10
56958,362159,-1862.0,9
56959,363087,-3215.0,9
56960,363309,-1794.0,10
56961,364237,-7231.0,9
56962,365165,-9018.0,9
56963,366126,-4291.0,10
56964,367054,-6764.0,9
56965,367982,-5340.0,9
56966,368910,-7409.0,9
56967,369871,-8434.0,10
56968,370193,-2340.0,9
56969,370446,-1919.0,9
56970,371407,-5833.0,10
56971,371634,-1985.0,9
56972,372595,-11854.0,10
56973,372885,-1903.0,9
56974,373086,-1707.0,10
56975,373318,-2155.0,10
56976,373626,-2251.0,10
56977,374587,-10575.0,10
56978,375548,-7432.0,10
56979,375800,-1726.0,9
56980,376728,-3035.0,9
56981,377689,-6558.0,10
56982,378617,-3257.0,9
56983,378937,-2346.0,9
56984,379162,-2455.0,10
56985,379330,-1318.0,10
56986,379768,-2696.0,9
56987,380696,-4826.0,9
56988,380967,-1515.0,9
56989,381895,-6260.0,9
56990,382823,-4786.0,9
56991,383135,-2576.0,10
56992,384096,-7584.0,10
56993,384263,-1399.0,10
56994,385224,-4248.0,10
56995,386152,-6519.0,9
56996,386470,-2656.0,9
56997,387398,-7861.0,9
56998,387558,-1341.0,9
56999,387836,-1701.0,9
57000,388064,-2151.0,9
57001,388374,-1879.0,10
57002,388732,-2042.0,10
57003,389024,-2057.0,10
57004,389233,-2231.0,10
57005,389380,-1270.0,10
57006,389617,-1880.0,9
57007,389797,-1729.0,9
57008,390758,-7915.0,10
57009,391050,-2185.0,10
57010,391210,-1334.0,9
57011,392171,-3484.0,10
57012,393099,-3748.0,9
57013,394027,-5594.0,9
57014,394955,-4782.0,9
57015,395239,-1877.0,9
57016,396167,-3088.0,9
57017,397128,-12825.0,10
57018,397400,-1940.0,9
57019,398361,-7961.0,10
57020,399289,-5065.0,9
57021,399626,-2893.0,9
57022,399878,-1727.0,9
57023,400806,-5146.0,9
57024,400933,-1303.0,10
57025,401190,-2051.0,10
57026,402118,-9489.0,9
57027,402331,-1262.0,9
57028,403292,-10115.0,10
57029,404220,-6319.0,9
57030,405181,-8264.0,10
57031,406109,-4337.0,9
57032,407070,-8628.0,10
57033,407998,-5924.0,9
57034,408959,-6702.0,10
57035,409887,-3473.0,9
57036,410848,-6187.0,10
57037,411087,-1763.0,9
57038,411328,-1798.0,10
57039,412256,-7933.0,9
57040,413217,-4023.0,10
57041,414178,-8207.0,10
57042,415106,-6221.0,9
57043,416034,-7870.0,9
57044,416347,-2236.0,10
57045,416683,-2766.0,9
57046,416975,-1944.0,9
57047,417903,-5444.0,9
57048,418110,-1362.0,9
57049,418364,-2053.0,9
57050,419325,-3728.0,10
57051,420286,-10352.0,10
57052,420592,-2561.0,10
57053,421553,-13547.0,10
57054,422514,-3044.0,10
57055,422680,-1254.0,9
57056,423641,-5344.0,10
57057,423902,-1864.0,10
57058,424122,-1869.0,9
57059,424437,-2404.0,9
57060,424801,-2745.0,10
57061,425762,-7479.0,10
57062,426723,-5307.0,10
57063,427651,-7254.0,9
57064,428612,-8434.0,10
57065,428847,-1984.0,10
57066,429808,-8455.0,10
57067,430769,-8641.0,10
57068,430985,-1795.0,9
57069,431913,-7450.0,9
57070,432208,-2186.0,10
57071,432438,-1625.0,9
57072,432663,-2021.0,9
57073,433624,-4488.0,10
57074,434585,-7419.0,10
57075,435513,-3533.0,9
57076,436441,-5544.0,9
57077,437402,-9503.0,10
57078,437611,-1939.0,10
57079,438572,-14439.0,10
57080,439533,-9336.0,10
57081,439806,-2065.0,10
57082,440767,-4757.0,10
57083,441024,-2181.0,10
57084,441323,-2550.0,10
57085,441504,-1532.0,10
57086,441961,-2810.0,10
57087,442922,-3356.0,10
57088,443155,-1917.0,9
57089,443460,-2675.0,9
57090,444388,-6482.0,9
57091,444665,-1868.0,10
57092,444876,-1339.0,9
57093,445837,-5610.0,10
57094,446798,-7458.0,10
57095,447726,-6683.0,9
57096,448654,-8411.0,9
57097,449582,-3348.0,9
57098,449814,-2010.0,9
57099,450775,-4803.0,10
57100,451736,-3854.0,10
57101,452664,-6726.0,9
57102,453004,-2566.0,9
57103,453965,-9347.0,10
57104,454893,-3827.0,9
57105,455854,-8557.0,10
57106,456009,-1317.0,10
57107,456970,-8857.0,10
57108,457898,-6640.0,9
57109,458826,-5469.0,9
57110,459006,-1707.0,9
57111,459934,-12144.0,9
57112,460205,-1943.0,9
57113,460387,-1632.0,10
57114,461348,-9495.0,10
